StudentID,FirstName,LastName,Email,Major,ClassID,ClassName,Semester,Year,Grade,GradeLetter,TotalEnrollments
1,Minh,,minhhang@gmail.com,Academic English,3,Physics I - Group 1,S1,2024,2.26,F,1
2,Linh,Pham,s2@example.com,Physics,4,Applied Statistics - Group 1,S1,2024,3.51,F,1
3,Khoa,Le,s3@example.com,Mathematics,2,Intro Programming - Group 1,S1,2024,5.09,F,1
4,An,Vu,s4@example.com,Computer Science,3,Physics I - Group 1,S1,2024,2.38,F,1
5,Huy,Dang,s5@example.com,Statistics,2,Intro Programming - Group 1,S1,2024,6.74,D,3
5,Huy,Dang,s5@example.com,Statistics,3,Physics I - Group 1,S1,2024,7.59,C,3
5,Huy,Dang,s5@example.com,Statistics,4,Applied Statistics - Group 1,S1,2024,0.83,F,3
6,Nhi,Lam,s6@example.com,Computer Science,1,Calculus I - Group 1,S1,2024,3.62,F,2
6,Nhi,Lam,s6@example.com,Computer Science,3,Physics I - Group 1,S1,2024,3.69,F,2
7,Bao,Ho,s7@example.com,Mathematics,4,Applied Statistics - Group 1,S1,2024,1.37,F,1
8,Quynh,Nguyen,s8@example.com,English,1,Calculus I - Group 1,S1,2024,4.00,F,2
8,Quynh,Nguyen,s8@example.com,English,4,Applied Statistics - Group 1,S1,2024,8.22,B,2
9,Long,Pham,s9@example.com,Physics,1,Calculus I - Group 1,S1,2024,0.09,F,1
10,Trang,Do,s10@example.com,Computer Science,,,,,,,0
11,Student1,Test1,student1@example.com,Mathematics,,,,,,,0
12,Student2,Test2,student2@example.com,Physics,1,Calculus I - Group 1,S1,2024,7.66,C,2
12,Student2,Test2,student2@example.com,Physics,2,Intro Programming - Group 1,S1,2024,3.26,F,2
13,Student3,Test3,student3@example.com,Statistics,,,,,,,0
14,Student4,Test4,student4@example.com,Computer Science,1,Calculus I - Group 1,S1,2024,7.66,C,2
14,Student4,Test4,student4@example.com,Computer Science,3,Physics I - Group 1,S1,2024,1.83,F,2
15,Student5,Test5,student5@example.com,Mathematics,3,Physics I - Group 1,S1,2024,8.64,B,2
15,Student5,Test5,student5@example.com,Mathematics,4,Applied Statistics - Group 1,S1,2024,0.92,F,2
16,Student6,Test6,student6@example.com,Physics,3,Physics I - Group 1,S1,2024,0.09,F,1
17,Student7,Test7,student7@example.com,Statistics,,,,,,,0
18,Student8,Test8,student8@example.com,Computer Science,3,Physics I - Group 1,S1,2024,1.35,F,2
18,Student8,Test8,student8@example.com,Computer Science,4,Applied Statistics - Group 1,S1,2024,4.75,F,2
19,Student9,Test9,student9@example.com,Mathematics,1,Calculus I - Group 1,S1,2024,6.38,D,1
20,Student10,Test10,student10@example.com,Physics,4,Applied Statistics - Group 1,S1,2024,9.93,A,1
21,Student11,Test11,student11@example.com,Statistics,1,Calculus I - Group 1,S1,2024,0.06,F,1
22,Student12,Test12,student12@example.com,Computer Science,,,,,,,0
23,Student13,Test13,student13@example.com,Mathematics,,,,,,,0
24,Student14,Test14,student14@example.com,Physics,4,Applied Statistics - Group 1,S1,2024,6.35,D,1
25,Student15,Test15,student15@example.com,Statistics,2,Intro Programming - Group 1,S1,2024,9.94,A,1
26,Student16,Test16,student16@example.com,Computer Science,4,Applied Statistics - Group 1,S1,2024,8.46,B,1
27,Student17,Test17,student17@example.com,Mathematics,1,Calculus I - Group 1,S1,2024,4.58,F,1
28,Student18,Test18,student18@example.com,Physics,2,Intro Programming - Group 1,S1,2024,8.91,B,3
28,Student18,Test18,student18@example.com,Physics,3,Physics I - Group 1,S1,2024,1.42,F,3
