StudentID,StudentFirstName,StudentLastName,StudentEmail,Major,SubjectCode,SubjectName,Credits,ClassID,ClassName,Semester,Year,LecturerID,LecturerFirstName,LecturerLastName,LecturerName,Office,Grade,GradeLetter,Note
5,Huy,Dang,s5@example.com,Statistics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,0.83,F,
7,Bao,Ho,s7@example.com,Mathematics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,1.37,F,
8,Quynh,Nguyen,s8@example.com,English,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,8.22,B,
2,Linh,Pham,s2@example.com,Physics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,3.51,F,
20,Student10,Test10,student10@example.com,Physics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,9.93,A,
24,Student14,Test14,student14@example.com,Physics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,6.35,D,
26,Student16,Test16,student16@example.com,Computer Science,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,8.46,B,
28,Student18,Test18,student18@example.com,Physics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,6.45,D,
39,Student29,Test29,student29@example.com,Mathematics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,7.34,C,
40,Student30,Test30,student30@example.com,Physics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,6.16,D,
48,Student38,Test38,student38@example.com,Physics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,5.39,F,
49,Student39,Test39,student39@example.com,Statistics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,5.14,F,
15,Student5,Test5,student5@example.com,Mathematics,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,0.92,F,
18,Student8,Test8,student8@example.com,Computer Science,STA202,Applied Statistics,3,4,Applied Statistics - Group 1,S1,2024,4,Mika,Suzuki,Mika Suzuki,B103,4.75,F,
6,Nhi,Lam,s6@example.com,Computer Science,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,3.62,F,
8,Quynh,Nguyen,s8@example.com,English,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,4.00,F,
9,Long,Pham,s9@example.com,Physics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,0.09,F,
21,Student11,Test11,student11@example.com,Statistics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,0.06,F,
27,Student17,Test17,student17@example.com,Mathematics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,4.58,F,
12,Student2,Test2,student2@example.com,Physics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,7.66,C,
37,Student27,Test27,student27@example.com,Statistics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,5.75,F,
39,Student29,Test29,student29@example.com,Mathematics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,8.96,B,
40,Student30,Test30,student30@example.com,Physics,MATH101,Calculus I,3,1,Calculus I - Group 1,S1,2024,1,John,Smith,John Smith,B201,1.36,F,
